Product,category_name,material_type,tensile_strength_mpa,weight_capacity_kg,biodegradability_score,co2_emission_kg_per_kg,recyclability_percent,Material_Cost_INR
Bioplastic Sterile Injection Syringe,Healthcare,Bioplastic,337.71,950.96,71,3.03,15.6,47548
Agro-Waste Fiber Thermal Insulation Insert,Home Appliances,Agro-Waste Fiber,141.24,62.79,87,1.74,14.29,3139.5
Composite High-Gloss Skincare Tube,Cosmetics,Composite,586.15,61.13,87,4.18,21.23,3056.5
Bio-Composite Exterior Cladding Panel,Construction,Bio-Composite,164.46,187.49,75,3.1,0.71,9374.5
Bioplastic Specimen Collection Container,Healthcare,Bioplastic,21.73,527.15,41,0.33,97.38,26357.5
Bioplastic Engineered Application Unit,Automotive,Bioplastic,210.26,95.15,61,1.08,51.42,4757.5
Recycled Metal Engineered Application Unit,Toys,Recycled Metal,533.58,51.22,50,3.43,45.05,2561
Biopolymer Load-Bearing Partition Board,Construction,Biopolymer,12.93,942.49,13,4.06,30.46,47124.5
Recycled Fiber Engineered Application Unit,Toys,Recycled Fiber,88.81,685.81,59,0.7,49.52,34290.5
Recycled Fiber Engineered Application Unit,Toys,Recycled Fiber,31.92,909.77,35,0.99,75.54,45488.5
Bioplastic Engineered Application Unit,Toys,Bioplastic,383.22,211.9,3,1.01,96.96,10595
Natural Fiber Engineered Application Unit,Furniture,Natural Fiber,697.84,939.8,61,4.64,72.73,46990
Plant-Based Appliance Housing Panel,Home Appliances,Plant-Based,294.56,572.59,61,1.69,38.87,28629.5
Natural Fiber Engineered Application Unit,Toys,Natural Fiber,244.94,829.59,25,4.83,60.7,41479.5
Biopolymer Motor Support Frame,Home Appliances,Biopolymer,249.12,299.79,44,0.47,98.69,14989.5
Natural Fiber Engineered Application Unit,Automotive,Natural Fiber,695.25,202.72,87,0.17,19.88,10136
Plant-Based Specimen Collection Container,Healthcare,Plant-Based,640.5,791.22,4,4.64,65.11,39561
Recycled Fiber Modular Decking Board,Construction,Recycled Fiber,823.55,850.79,11,1.72,6.36,42539.5
Recycled Plastic Engineered Application Unit,Electronics,Recycled Plastic,280.57,328.56,98,3,27.47,16428
Plant-Based Engineered Application Unit,Automotive,Plant-Based,505.56,386.01,46,3.59,76.08,19300.5
Natural Fiber Takeaway Clamshell Box,Food Packaging,Natural Fiber,505.59,772.11,26,2.66,42.75,38605.5
Plant-Based Acoustic Dampening Board,Home Appliances,Plant-Based,23.85,112.35,62,4.49,47.54,5617.5
Biopolymer Reinforced Roofing Sheet,Construction,Biopolymer,507.38,697.04,100,1.32,41.04,34852
Bioplastic Medical Dose Dispenser,Healthcare,Bioplastic,680.24,232.65,31,3.03,69.48,11632.5
Plant-Based Engineered Application Unit,Electronics,Plant-Based,792.54,626.23,61,3.2,87.15,31311.5
Biopolymer Laminated Lotion Tube,Cosmetics,Biopolymer,723.5,190.64,29,4.43,32.43,9532
Plant-Based Thermal Insulation Slab,Construction,Plant-Based,110.76,359.52,61,0.64,22.79,17976
Plant-Based Engineered Application Unit,Textiles,Plant-Based,384.97,818.92,2,0.13,51.07,40946
Composite Engineered Application Unit,Textiles,Composite,376.25,226,50,1.42,24.41,11300
Recycled Plastic Engineered Application Unit,Electronics,Recycled Plastic,152.29,222.67,87,3.54,36.36,11133.5
Plant-Based Appliance Housing Panel,Home Appliances,Plant-Based,874.63,962.64,38,2.54,30.09,48132
Recycled Plastic Food Storage Container,Food Packaging,Recycled Plastic,257.07,41.7,1,2.56,5.15,2085
Natural Fiber IV Fluid Connector,Healthcare,Natural Fiber,251.5,908.72,18,3.44,53.09,45436
Natural Fiber Acoustic Dampening Board,Home Appliances,Natural Fiber,403.56,555.13,67,0.5,36.97,27756.5
Agro-Waste Fiber Specimen Collection Container,Healthcare,Agro-Waste Fiber,218.7,804.12,68,3.2,63.35,40206
Composite Medical Dose Dispenser,Healthcare,Composite,482.66,94.84,96,0.84,50.82,4742
Recycled Plastic Compostable Meal Tray,Food Packaging,Recycled Plastic,626.54,859.07,58,1.18,71.11,42953.5
Composite Laminated Lotion Tube,Cosmetics,Composite,728.74,351.92,70,0.95,69.09,17596
Recycled Plastic Engineered Application Unit,Furniture,Recycled Plastic,348.68,937.05,0,3.41,73.52,46852.5
Natural Fiber Engineered Application Unit,Furniture,Natural Fiber,188.96,543.74,41,1.36,66,27187
Recycled Metal Specimen Collection Container,Healthcare,Recycled Metal,735.68,557.42,59,1.38,99.63,27871
Agro-Waste Fiber Medical Dose Dispenser,Healthcare,Agro-Waste Fiber,868.91,560.5,31,3.2,33.9,28025
Composite Engineered Application Unit,Toys,Composite,314.94,727.33,2,4.3,40.45,36366.5
Composite Food Storage Container,Food Packaging,Composite,799.11,851.67,71,3.95,66.9,42583.5
Recycled Fiber Motor Support Frame,Home Appliances,Recycled Fiber,523.04,375.42,88,3.35,0.51,18771
Natural Fiber Diagnostic Cartridge,Healthcare,Natural Fiber,145.57,550.99,53,2.3,99.45,27549.5
Recycled Metal Engineered Application Unit,Electronics,Recycled Metal,159.16,22.98,13,1.69,74.65,1149
Plant-Based Eco Cutlery Set,Food Packaging,Plant-Based,585.02,849.98,16,1.61,54.25,42499
Recycled Metal Sterile Injection Syringe,Healthcare,Recycled Metal,458.42,638.15,21,1.3,97.3,31907.5
Natural Fiber Engineered Application Unit,Electronics,Natural Fiber,354.39,892.59,26,2.23,35.01,44629.5
Bio-Composite Engineered Application Unit,Automotive,Bio-Composite,580.95,670.58,96,1.06,72.25,33529
Recycled Plastic Exterior Cladding Panel,Construction,Recycled Plastic,253.41,29.19,48,0.31,99.46,1459.5
Bioplastic Specimen Collection Container,Healthcare,Bioplastic,423.48,283.16,5,1.91,1.55,14158
Agro-Waste Fiber Medical Dose Dispenser,Healthcare,Agro-Waste Fiber,835.56,431.04,52,2.9,98.03,21552
Bioplastic Compostable Meal Tray,Food Packaging,Bioplastic,68.74,309.17,31,4.27,31.69,15458.5
Plant-Based Load-Bearing Partition Board,Construction,Plant-Based,153.37,559.02,94,4.24,93,27951
Recycled Plastic Engineered Application Unit,Toys,Recycled Plastic,64.3,212.87,46,4.95,14.01,10643.5
Recycled Plastic Engineered Application Unit,Textiles,Recycled Plastic,466.98,877.99,16,4.26,13.66,43899.5
Biopolymer Rear Casing Structure,Home Appliances,Biopolymer,638.31,555.06,41,4.07,81.01,27753
Composite Engineered Application Unit,Automotive,Composite,780.5,913.67,6,2.56,79.83,45683.5
Recycled Plastic Engineered Application Unit,Furniture,Recycled Plastic,585.32,703.46,15,0.35,88.66,35173
Bio-Composite Engineered Application Unit,Automotive,Bio-Composite,25.83,580.97,31,2.93,3.59,29048.5
Recycled Metal IV Fluid Connector,Healthcare,Recycled Metal,419.57,544.93,21,3,3.05,27246.5
Plant-Based Diagnostic Cartridge,Healthcare,Plant-Based,34.58,823.49,53,2.73,32.67,41174.5
Recycled Fiber Reinforced Roofing Sheet,Construction,Recycled Fiber,745.25,275.19,4,2.34,84.2,13759.5
Bioplastic Eco Cutlery Set,Food Packaging,Bioplastic,175.75,414.3,98,3.22,72.61,20715
Recycled Metal Compostable Meal Tray,Food Packaging,Recycled Metal,878.29,518.72,29,0.3,39.88,25936
Agro-Waste Fiber Surgical Instrument Tray,Healthcare,Agro-Waste Fiber,390.74,745.32,89,0.22,96.26,37266
Biopolymer Thermal Insulation Slab,Construction,Biopolymer,752.55,697.49,0,0.95,15.64,34874.5
