Product,category_name,material_type,tensile_strength_mpa,weight_capacity_kg,biodegradability_score,co2_emission_kg_per_kg,recyclability_percent,Material_Cost_INR
Generic Recycled Plastic Item,E-commerce,Recycled Plastic,73.9196365086843,23.77278622960691,10.986584841970366,63.68350727604825,73.90046601106091,578.5071762970144
Generic Bio-Composite Item,Agriculture,Bio-Composite,195.7873793026792,2.1563909801506647,54.97327922401266,6.265874219279956,36.370173320348286,95.84235995468286
Generic Biopolymer Item,Toys,Biopolymer,15.80718487644955,0.1699564216752023,78.36711310904363,0.32027142565166433,45.99443886861022,9.062447127313618
Generic Plant-Based Item,Cosmetics,Plant-Based,16.669072331199498,0.49245389861305466,95.79821220208962,0.5408911118847968,40.40922615763339,9.825899824021867
Generic Composite Item,Home Appliances,Composite,207.9831261101071,16.64582709651681,7.30893825622149,118.5462654588198,14.820509320520234,2746.0976766433237
Generic Bio-Composite Item,Agriculture,Bio-Composite,96.22919742400236,90.94110816767032,49.875668530619464,286.6967460415982,39.35133228268233,4712.628443679693
Generic Composite Item,Construction,Composite,669.7494707820945,621.230594572086,13.948273504276488,3947.1522745953616,21.957999576221702,66362.27177204804
Generic Bioplastic Item,Automotive,Bioplastic,58.61021229056552,147.51428908463436,71.24619866903396,431.18444241696636,48.2799754606763,8124.37421248326
Generic Plant-Based Item,Home Appliances,Plant-Based,14.872037954389242,18.089256266842046,78.80464524154114,18.996077254025096,20.422394681452534,293.97013656065803
Generic Recycled Metal Item,Cosmetics,Recycled Metal,855.7805271080094,0.32268198865145514,3.2553851275097223,3.0049754397869206,98.29919351087561,43.19570038972498
Generic Plant-Based Item,Healthcare,Plant-Based,13.129583050668677,0.6288548202141678,91.88818535014192,0.8255108065228906,39.12672414065639,13.158403116834524
Generic Bio-Composite Item,Food & Beverage,Bio-Composite,138.57880765972948,1.545491592372105,53.12901539863683,5.068361853088315,44.81386789093172,79.9115874993674
Generic Bio-Composite Item,Toys,Bio-Composite,149.09745757692926,0.41114893829866905,39.4306794322898,1.391480117925339,45.25712073494108,25.61788184292201
Generic Plant-Based Item,Electronics,Plant-Based,9.030532181350111,1.4842696919231517,97.8909295702772,1.5841008302026431,44.24361138693251,29.103841366584835
Generic Recycled Fiber Item,Electronics,Recycled Fiber,15.688935142309248,0.6543353757683331,76.27313766183016,0.9780665061366333,60.88528997538541,9.152815440129917
Generic Natural Fiber Item,Construction,Natural Fiber,24.544899140769495,429.60108840347635,93.8487206578054,577.6195690731548,30.776493351940857,6229.411050506881
Generic Agro-Waste Fiber Item,Agriculture,Agro-Waste Fiber,2.5574139306155574,40.44323348869828,85.07830827868689,18.052078762920143,27.406281885158037,277.1650129641969
Generic Recycled Metal Item,Food & Beverage,Recycled Metal,460.06860856517096,1.9957069215929895,4.883074779163264,14.195669195664866,88.22074026636463,168.95580722505076
Generic Bio-Composite Item,Healthcare,Bio-Composite,134.3308416643991,1.364603848593986,43.43349493719275,6.020487860788011,46.586792672139836,128.63182707920387
Generic Recycled Metal Item,Agriculture,Recycled Metal,520.6698796315519,72.84881322632476,3.1615291529678973,497.27650989315333,92.67059421521789,4526.673534558313
Generic Agro-Waste Fiber Item,Healthcare,Agro-Waste Fiber,5.476444249596502,0.6483523292937543,80.81550283109527,0.4066093609466838,37.72678829564725,8.3731692368749
Generic Recycled Plastic Item,E-commerce,Recycled Plastic,53.85432126525134,23.519029285791138,10.177513505274801,62.59231951867096,90.94275264768319,597.455057526807
Generic Plant-Based Item,Automotive,Plant-Based,22.394609983627056,136.27909750923632,76.85650065391899,166.62384295471512,25.248647812878087,2352.346446018171
Generic Composite Item,Healthcare,Composite,682.7096756443968,1.9925448625182693,10.582934536070976,14.311492561147586,27.652726863786793,405.8521557128724
Generic Bio-Composite Item,Cosmetics,Bio-Composite,116.63113779710662,0.4353459313451416,56.633102962828794,1.8259733194622894,55.52785346302538,42.89687209378215
Generic Bio-Composite Item,Home Appliances,Bio-Composite,99.7489364632452,38.999225796702056,39.1609158103318,150.02904174842317,44.568412607586794,2888.035874810166
Generic Recycled Metal Item,Electronics,Recycled Metal,596.3362291100607,0.1394730498968283,0.8941135461066441,1.2277162374693527,87.32937569165719,18.19010088199568
Generic Bio-Composite Item,Healthcare,Bio-Composite,95.06465460478178,1.2763019101899318,47.696125426816316,5.575521803469,59.36678574825027,130.7718207688218
Generic Bioplastic Item,Automotive,Bioplastic,43.07615538505436,126.65399909008764,67.23811928366024,398.5265605103375,45.857289633941335,6931.94182952592
Generic Recycled Metal Item,Cosmetics,Recycled Metal,896.7303064784046,0.06962169728949519,2.349722569954715,0.6281891343628049,85.59120683593517,9.552706605055203
Generic Natural Fiber Item,Food & Beverage,Natural Fiber,26.582949005064698,0.728425578873976,91.44584938341677,0.7680053862912668,59.213263348641824,12.248593800218318
Generic Recycled Metal Item,E-commerce,Recycled Metal,401.6956480116555,7.991357928391313,2.784006312291751,59.13124379088743,98.72309548321562,659.4492516955844
Generic Composite Item,Agriculture,Composite,695.0269250521317,61.539221947247064,6.40084015236524,322.650144006313,20.366593047274733,6107.411674276253
Generic Agro-Waste Fiber Item,Healthcare,Agro-Waste Fiber,9.627787629274124,1.4079433271343473,85.87183688528987,0.8912812535406673,44.28083466435541,20.011259554622725
Generic Plant-Based Item,Toys,Plant-Based,24.95737947416938,5.065011317403276,89.49891792333295,4.854147773828125,41.059006317731104,69.17184608729737
Generic Composite Item,E-commerce,Composite,489.14007049808697,2.440150302037638,5.359422737967421,12.66709512080311,19.311960362649202,266.6328345235881
Generic Recycled Fiber Item,Toys,Recycled Fiber,6.120445662476433,0.4019524743965893,72.90402242638633,0.5419166206718508,64.40762565645052,4.355038980357194
Generic Bioplastic Item,Food & Beverage,Bioplastic,53.680923000479254,0.9688038070660842,56.80330118982056,2.2258367236573005,52.34061715170036,39.598201475938424
Generic Recycled Fiber Item,Automotive,Recycled Fiber,28.85558584306111,82.093205289429,50.83329005048297,160.0421120826371,67.55885682822544,1089.1670726164778
Generic Recycled Fiber Item,Toys,Recycled Fiber,12.50728694493786,1.648726722443752,61.969066588244814,2.457258455255518,78.5838369080025,16.683667944909647
Generic Bioplastic Item,E-commerce,Bioplastic,36.7840024971116,15.33184658123537,58.67058463254051,35.62968752367168,50.679180359537845,605.9945489917363
Generic Recycled Fiber Item,Toys,Recycled Fiber,19.204153123416972,4.96699716365664,46.92807479640061,6.571846001243672,67.35406596951893,58.021987818428435
Generic Recycled Plastic Item,Food & Beverage,Recycled Plastic,52.47675687758827,0.1860776185668846,11.258599157142363,0.5252626284012357,82.5784064645022,4.841059293224221
Generic Natural Fiber Item,Electronics,Natural Fiber,38.327547913755026,4.7222634425757475,97.34397867110007,6.257227174825903,45.45614389784045,121.64455321190826
Generic Recycled Metal Item,Cosmetics,Recycled Metal,627.3700735895609,0.2562138007211825,4.707324043882625,2.184481993646991,87.72205275601549,35.07482255958757
Generic Recycled Fiber Item,Healthcare,Recycled Fiber,30.346259329083637,0.644761504284585,40.93087742943303,1.1874398151392234,82.57873930355743,10.494989832788958
Generic Composite Item,Food & Beverage,Composite,638.7360067635265,1.2949914088817795,12.350710438038858,6.797087606653755,26.06961860769697,158.267578098096
Generic Natural Fiber Item,Home Appliances,Natural Fiber,39.7151542600202,32.659720092156036,88.25235353822853,45.61543466075382,34.88072343171133,662.9053494586058
Generic Recycled Metal Item,Food & Beverage,Recycled Metal,743.9452562684247,1.391705081810467,1.191180762019897,11.65056813803561,87.5545777235259,116.36688342732964
Generic Biopolymer Item,Home Appliances,Biopolymer,18.499471050665218,13.310136631353814,61.87198538615791,30.723024249904807,68.34165987532793,821.2944558111424
Generic Bio-Composite Item,Electronics,Bio-Composite,71.65981756733635,2.4904770059704346,32.75112441775443,9.275749528825127,48.073227777033566,202.2196207492212
Generic Plant-Based Item,Food & Beverage,Plant-Based,7.8366150504362,1.5844624958952849,97.92787317061878,1.5454660158734188,49.22744625603231,20.529691099888066
Generic Agro-Waste Fiber Item,Automotive,Agro-Waste Fiber,15.837233519590265,190.85463666593313,82.0224535224558,115.6797973777553,22.523204183449923,2147.2769921911936
Generic Recycled Fiber Item,Automotive,Recycled Fiber,20.399785060771787,38.35799577962232,49.32912289698111,68.39805073562808,73.25221668907129,537.0126750852411
Generic Recycled Plastic Item,Electronics,Recycled Plastic,35.010043001920124,1.912484948378033,12.771469159274368,5.976151482473534,83.96010624339513,74.79367516456144
Generic Bio-Composite Item,E-commerce,Bio-Composite,116.7282921493984,6.416686129441154,47.14419075615032,19.601268947278477,52.22921582732005,370.96891922982786
Generic Recycled Metal Item,E-commerce,Recycled Metal,442.503882775482,17.057881734713035,2.001114464360124,111.09804123998167,89.55429781760455,1368.5479118685207
Generic Biopolymer Item,Food & Beverage,Biopolymer,49.22652340639948,1.6240075731507948,79.46017635249046,2.9648950514930403,42.907455531103345,82.12836823272775
Generic Recycled Plastic Item,Cosmetics,Recycled Plastic,39.97292591455518,0.08394554619039618,7.168091065864912,0.2673010454360752,77.36234867098575,3.644028161061817
Generic Natural Fiber Item,Toys,Natural Fiber,13.202681978076532,4.005765806220485,86.71320129593926,4.929420154969528,26.78719615582262,67.74466950069363
Generic Bioplastic Item,Automotive,Bioplastic,59.44842977918412,243.6499123012093,74.43565999069108,709.8653581373692,56.08289099032361,14675.635676185688
Generic Biopolymer Item,Cosmetics,Biopolymer,40.4001827935926,0.4774099609813658,81.46953185775264,1.0256631098848863,46.729721451624755,40.95066651064493
Generic Bioplastic Item,Healthcare,Bioplastic,35.719577959154364,1.5016608169523833,79.02074772472801,4.5790388033958065,57.07244407497243,106.26561459517055
Generic Bioplastic Item,Food & Beverage,Bioplastic,42.2172682241051,1.9936099904404203,76.91455953131786,4.625315961354171,68.34297189647285,82.8217576755946
Generic Recycled Metal Item,Home Appliances,Recycled Metal,663.704780670528,38.25393903583145,1.1432140275173137,358.140178866373,93.43401368811713,3708.5625714653424
Generic Plant-Based Item,Agriculture,Plant-Based,18.00769252259483,67.19016223972068,93.16955175206918,60.40482397884054,35.6049050333598,660.6715789620921
Generic Agro-Waste Fiber Item,Food & Beverage,Agro-Waste Fiber,12.521103208443403,1.2209162045615085,88.4107155733015,0.5638401805968012,43.540047918329286,10.974314953359034
Generic Biopolymer Item,E-commerce,Biopolymer,49.316195378233225,15.46986643122257,81.28307473396598,26.451846229734013,55.465772864891306,710.3051569770023
Generic Recycled Plastic Item,Automotive,Recycled Plastic,57.054626844966265,137.76668411097967,14.10471278403273,501.60414586862703,77.44898628854877,5205.8847492679
Generic Recycled Fiber Item,Electronics,Recycled Fiber,19.763488792386145,4.636608744549397,50.32977553195833,7.449850917183922,68.36543024953045,69.52757392932554
Generic Agro-Waste Fiber Item,Cosmetics,Agro-Waste Fiber,15.03438654277969,0.2570536215426074,88.00600977820562,0.13493168037743164,40.93002721090795,3.567429323148456
Generic Bio-Composite Item,Home Appliances,Bio-Composite,132.13304768098953,35.22406898446785,59.19331047810313,132.02758213844675,48.058061866228805,2668.723123923343
Generic Recycled Fiber Item,Automotive,Recycled Fiber,7.661076012711669,45.89860010063321,44.82543484402403,77.66919752862054,68.43115072130902,615.8665890258729
Generic Agro-Waste Fiber Item,Toys,Agro-Waste Fiber,12.547489457351038,1.0136768036645862,93.75569434192167,0.455987300189223,35.349710406417834,8.950182358547252
Generic Recycled Fiber Item,Healthcare,Recycled Fiber,7.535510230420458,1.7379192030008177,63.89112329021722,3.2698415684362603,89.45027983467261,30.364473545463444
Generic Plant-Based Item,Toys,Plant-Based,23.01290153478662,5.359530964337987,71.87024087533725,4.891835166248855,24.4321727571868,73.8015335445409
Generic Composite Item,E-commerce,Composite,466.30863322751156,11.24056793390402,7.424705036347296,57.18991132895728,15.384864618987619,1336.2626337044728
Generic Recycled Metal Item,Home Appliances,Recycled Metal,496.4984113067488,10.035024265868696,0.5988106590962561,92.20101513573114,97.8105456147979,1142.5627109677437
Generic Agro-Waste Fiber Item,Cosmetics,Agro-Waste Fiber,3.0860869140981686,0.2742989895180758,90.74213083637096,0.16279810979650608,37.60523354062637,3.6214761386144723
Generic Recycled Fiber Item,Cosmetics,Recycled Fiber,15.892468891959053,0.177699157609426,65.83668965326405,0.30145684068294765,72.83113218675648,2.6774216866934104
Generic Bioplastic Item,Construction,Bioplastic,29.838309135380324,126.52301565154396,55.62384806408445,353.83830514684223,45.59701072153917,4548.047616753112
Generic Agro-Waste Fiber Item,E-commerce,Agro-Waste Fiber,13.588273349686112,2.0978202669748907,88.20793653979322,0.8511156227835612,49.47135850725819,16.58205411361096
Generic Biopolymer Item,Electronics,Biopolymer,32.17620727405746,4.876582456578455,85.30136338176214,11.153850319779192,62.834458926134104,370.973456223496
Generic Bio-Composite Item,Toys,Bio-Composite,88.71085842092427,8.401967331155985,59.03982199512703,26.798428850884385,51.32857436510245,546.2777115130633
Generic Recycled Fiber Item,Healthcare,Recycled Fiber,7.618705387690263,1.5378812078712492,60.24415825437388,2.640608527241312,87.28057369027736,26.975699178340868
Generic Composite Item,Construction,Composite,474.3015589690766,366.1430379141842,10.489219798889772,2559.3444922394674,14.034609246604717,39991.234567512845
Generic Agro-Waste Fiber Item,Food & Beverage,Agro-Waste Fiber,15.295329774588263,1.5444329337904044,89.43152377100317,0.6879390456273548,32.355227424418054,13.506460846534234
Generic Bioplastic Item,Automotive,Bioplastic,57.533618272841515,183.25513385050377,56.34315731579811,593.2005543157238,41.99488802100333,10794.300372792026
Generic Agro-Waste Fiber Item,Agriculture,Agro-Waste Fiber,20.188891142068375,75.07514228405482,96.50265353385595,29.847144342580126,25.592149603644323,503.9310002913617
Generic Agro-Waste Fiber Item,Electronics,Agro-Waste Fiber,10.41868257814325,4.392142677024886,96.33198878943153,2.048731817195938,33.17404725710655,53.04496940370903
Generic Recycled Metal Item,Construction,Recycled Metal,601.6322340554875,599.3494572401196,1.1610634757340865,4904.403342833463,97.99149146549136,46815.34848643741
Generic Natural Fiber Item,Agriculture,Natural Fiber,13.506941221250923,62.46137579180782,98.7966424722695,62.43520344276798,45.10832212285671,776.4808252134387
Generic Recycled Plastic Item,Healthcare,Recycled Plastic,64.38905095544332,1.4855072131667004,14.976926159238433,5.771410842541592,88.81007800097056,65.4175237794909
Generic Recycled Plastic Item,Healthcare,Recycled Plastic,75.74752114444144,1.1440804728939198,13.767656367617494,4.194920308120187,78.55204371789769,51.14342600455635
Generic Recycled Plastic Item,Food & Beverage,Recycled Plastic,73.20219219276447,1.472279879946826,11.411476328852974,4.0309995216069865,87.3487111116775,34.479207595158286
Generic Recycled Plastic Item,Food & Beverage,Recycled Plastic,84.5070336800177,0.4450356619227087,10.833917947661204,1.1982567704817757,80.021285419091,11.719709846623216
Generic Natural Fiber Item,Toys,Natural Fiber,28.343627063039435,5.108297920956213,80.36220367641681,6.034783261639865,54.88495635776606,92.45230165887106
Generic Bioplastic Item,Electronics,Bioplastic,48.28954537253594,4.616371936827614,55.33886650199915,13.261203254641128,57.288650805004394,269.17134048528897
Generic Agro-Waste Fiber Item,Agriculture,Agro-Waste Fiber,11.82014491369917,92.56429443938696,82.2647609168151,40.3704354519369,49.54523596887004,678.0403628113764
Generic Agro-Waste Fiber Item,Food & Beverage,Agro-Waste Fiber,5.9339154010153,1.5140743385022488,95.75579777428985,0.6490539246016237,38.111645951904165,12.73448999746077
Generic Biopolymer Item,Toys,Biopolymer,27.14336206636797,3.5288253442230166,85.8125436838412,6.200856903873158,48.08871763559229,188.08322673049383
Generic Biopolymer Item,Cosmetics,Biopolymer,32.44287204588179,0.1293741439278005,74.66239073265918,0.25836798267112693,66.593836042724,11.045429119085528
Generic Recycled Fiber Item,Construction,Recycled Fiber,24.906121160501318,15.41009298772524,47.121438674790056,25.111704112394154,88.4428126987782,136.82621701336822
Generic Recycled Metal Item,Agriculture,Recycled Metal,485.9621557611665,30.02963158547106,1.9865905772879895,215.7275332197958,88.535778106735,1896.5730248642858
Generic Natural Fiber Item,Healthcare,Natural Fiber,18.821340376629145,1.179032672425808,94.28118399579657,2.0157950523611006,41.105909205791434,30.479704327225505
Generic Bio-Composite Item,Construction,Bio-Composite,85.46993826933796,128.41599551491646,55.85356863040552,496.77270596418794,58.38346386400898,6267.378848908414
Generic Recycled Metal Item,Automotive,Recycled Metal,393.6915584197142,8.295816203765526,3.579861144236988,75.1439606864431,93.17847883820303,988.4433015485305
Generic Biopolymer Item,Agriculture,Biopolymer,34.930523121722516,33.99319746502948,91.0611168879726,59.589699609817245,52.26886339133465,1382.871552357751
Generic Natural Fiber Item,Agriculture,Natural Fiber,38.879479556646245,80.70432988136234,98.88819451154546,78.6118944241965,25.643273951108544,960.3312456962352
Generic Plant-Based Item,Automotive,Plant-Based,23.39761532990006,159.04371217791822,95.44384286400651,199.1546309333353,23.683306689881256,2788.8156198982833
Generic Composite Item,Automotive,Composite,512.3806355216255,227.83475287799538,8.358658571498351,1632.4684996529606,26.502146628453197,38654.33484438038
Generic Bioplastic Item,Electronics,Bioplastic,50.95338092805361,1.7587011171623144,62.69652631330809,4.67602285612169,65.83204059924165,107.96758309995393
Generic Plant-Based Item,Agriculture,Plant-Based,15.630337611730836,80.00554006913679,70.67407924960352,70.29054211072601,28.060320781548384,864.1141785087975
Generic Agro-Waste Fiber Item,E-commerce,Agro-Waste Fiber,21.038325683183178,3.5699662444133207,99.68804361407103,1.4581920699276465,35.770705469080575,27.78896041978667
Generic Composite Item,Construction,Composite,607.5272142012286,426.08103453078945,9.980907535110058,2560.9667376201724,11.343507998314202,47768.79003464834
Generic Bioplastic Item,E-commerce,Bioplastic,25.47542520275229,0.3737961335961639,81.50065246468368,0.8566902962818498,66.21670232687546,16.163343616179112
Generic Bioplastic Item,Home Appliances,Bioplastic,56.57647783699839,8.664108587691084,64.65696837122256,23.857381273827098,51.494155847484926,440.6552738412815
Generic Recycled Metal Item,Construction,Recycled Metal,661.8912656798329,70.82494100047555,1.2267455484066048,607.5522852801221,87.78591228083953,5066.665799340107
Generic Plant-Based Item,Healthcare,Plant-Based,28.732669926444142,1.2247052873458355,81.89948119156163,1.4452199860884216,48.62260809618899,25.654760094771405
Generic Recycled Plastic Item,Toys,Recycled Plastic,39.720832673495075,5.444443511191115,13.415296603100433,17.29989245978713,91.16019623286394,143.47107437205997
Generic Agro-Waste Fiber Item,Home Appliances,Agro-Waste Fiber,10.907045214562054,15.358526123100315,94.09851099377906,8.41518684140081,37.94858174804464,154.8385245838308
Generic Bioplastic Item,Automotive,Bioplastic,58.707975528283455,2.5801688751930083,50.183883649543475,7.5104337869022375,43.09281238041235,155.67178715996468
