Product,category_name,material_type,tensile_strength_mpa,weight_capacity_kg,biodegradability_score,co2_emission_kg_per_kg,recyclability_percent,Material_Cost_INR
Bioplastic Sterile Injection Syringe,Healthcare,Bioplastic,337.71,950.96,71,4.287892830602247,15.6,47548.0
Agro-Waste Fiber Thermal Insulation Insert,Home Appliances,Agro-Waste Fiber,141.24,62.79,87,1.4785471397657632,14.29,3139.5
Composite High-Gloss Skincare Tube,Cosmetics,Composite,586.15,61.13,87,8.060287707620137,21.23,3056.5
Bio-Composite Exterior Cladding Panel,Construction,Bio-Composite,164.46,187.49,75,4.126905971281605,0.71,9374.5
Bioplastic Specimen Collection Container,Healthcare,Bioplastic,21.73,527.15,41,2.5618193250553327,97.38,26357.5
Bioplastic Engineered Application Unit,Automotive,Bioplastic,210.26,95.15,61,3.504472608610164,51.42,4757.5
Recycled Metal Engineered Application Unit,Toys,Recycled Metal,533.58,51.22,50,8.983742563101478,45.05,2561.0
Biopolymer Load-Bearing Partition Board,Construction,Biopolymer,12.93,942.49,13,2.2181369458305817,30.46,47124.5
Recycled Fiber Engineered Application Unit,Toys,Recycled Fiber,88.81,685.81,59,1.8501551228130095,49.52,34290.5
Recycled Fiber Engineered Application Unit,Toys,Recycled Fiber,31.92,909.77,35,1.7681120087171929,75.54,45488.5
Bioplastic Engineered Application Unit,Toys,Bioplastic,383.22,211.9,3,4.323416461437508,96.96,10595.0
Natural Fiber Engineered Application Unit,Furniture,Natural Fiber,697.84,939.8,61,4.596054049285949,72.73,46990.0
Plant-Based Appliance Housing Panel,Home Appliances,Plant-Based,294.56,572.59,61,2.521192454313207,38.87,28629.5
Natural Fiber Engineered Application Unit,Toys,Natural Fiber,244.94,829.59,25,2.0420439510684405,60.7,41479.5
Biopolymer Motor Support Frame,Home Appliances,Biopolymer,249.12,299.79,44,2.9006164334973934,98.69,14989.5
Natural Fiber Engineered Application Unit,Automotive,Natural Fiber,695.25,202.72,87,4.563792494151806,19.88,10136.0
Plant-Based Specimen Collection Container,Healthcare,Plant-Based,640.5,791.22,4,3.999933775933116,65.11,39561.0
Recycled Fiber Modular Decking Board,Construction,Recycled Fiber,823.55,850.79,11,5.6805994665190545,6.36,42539.5
Recycled Plastic Engineered Application Unit,Electronics,Recycled Plastic,280.57,328.56,98,5.721245184895758,27.47,16428.0
Plant-Based Engineered Application Unit,Automotive,Plant-Based,505.56,386.01,46,3.245339259732942,76.08,19300.5
Natural Fiber Takeaway Clamshell Box,Food Packaging,Natural Fiber,505.59,772.11,26,4.021079753784311,42.75,38605.5
Plant-Based Acoustic Dampening Board,Home Appliances,Plant-Based,23.85,112.35,62,1.074094739902693,47.54,5617.5
Biopolymer Reinforced Roofing Sheet,Construction,Biopolymer,507.38,697.04,100,4.550405640937585,41.04,34852.0
Bioplastic Medical Dose Dispenser,Healthcare,Bioplastic,680.24,232.65,31,5.616250362757309,69.48,11632.5
Plant-Based Engineered Application Unit,Electronics,Plant-Based,792.54,626.23,61,4.853823455094964,87.15,31311.5
Biopolymer Laminated Lotion Tube,Cosmetics,Biopolymer,723.5,190.64,29,5.639684517941973,32.43,9532.0
Plant-Based Thermal Insulation Slab,Construction,Plant-Based,110.76,359.52,61,1.3236012845155396,22.79,17976.0
Plant-Based Engineered Application Unit,Textiles,Plant-Based,384.97,818.92,2,2.9999896036691345,51.07,40946.0
Composite Engineered Application Unit,Textiles,Composite,376.25,226.0,50,6.761122262016238,24.41,11300.0
Recycled Plastic Engineered Application Unit,Electronics,Recycled Plastic,152.29,222.67,87,5.203111250041345,36.36,11133.5
Plant-Based Appliance Housing Panel,Home Appliances,Plant-Based,874.63,962.64,38,5.25280867755412,30.09,48132.0
Recycled Plastic Food Storage Container,Food Packaging,Recycled Plastic,257.07,41.7,1,6.155805636901788,5.15,2085.0
Natural Fiber IV Fluid Connector,Healthcare,Natural Fiber,251.5,908.72,18,2.454800555052413,53.09,45436.0
Natural Fiber Acoustic Dampening Board,Home Appliances,Natural Fiber,403.56,555.13,67,3.0062578142088205,36.97,27756.5
Agro-Waste Fiber Specimen Collection Container,Healthcare,Agro-Waste Fiber,218.7,804.12,68,2.058008982420638,63.35,40206.0
Composite Medical Dose Dispenser,Healthcare,Composite,482.66,94.84,96,7.169131270005795,50.82,4742.0
Recycled Plastic Compostable Meal Tray,Food Packaging,Recycled Plastic,626.54,859.07,58,7.674472719000951,71.11,42953.5
Composite Laminated Lotion Tube,Cosmetics,Composite,728.74,351.92,70,8.251765975224044,69.09,17596.0
Recycled Plastic Engineered Application Unit,Furniture,Recycled Plastic,348.68,937.05,0,5.977762790220314,73.52,46852.5
Natural Fiber Engineered Application Unit,Furniture,Natural Fiber,188.96,543.74,41,2.1841722471738247,66.0,27187.0
Recycled Metal Specimen Collection Container,Healthcare,Recycled Metal,735.68,557.42,59,9.826093315999081,99.63,27871.0
Agro-Waste Fiber Medical Dose Dispenser,Healthcare,Agro-Waste Fiber,868.91,560.5,31,5.178823656237994,33.9,28025.0
Composite Engineered Application Unit,Toys,Composite,314.94,727.33,2,6.551570343522352,40.45,36366.5
Composite Food Storage Container,Food Packaging,Composite,799.11,851.67,71,8.935329260882142,66.9,42583.5
Recycled Fiber Motor Support Frame,Home Appliances,Recycled Fiber,523.04,375.42,88,3.8194956019265143,0.51,18771.0
Natural Fiber Diagnostic Cartridge,Healthcare,Natural Fiber,145.57,550.99,53,1.783881158321058,99.45,27549.5
Recycled Metal Engineered Application Unit,Electronics,Recycled Metal,159.16,22.98,13,6.703672245808042,74.65,1149.0
Plant-Based Eco Cutlery Set,Food Packaging,Plant-Based,585.02,849.98,16,4.136524445243783,54.25,42499.0
Recycled Metal Sterile Injection Syringe,Healthcare,Recycled Metal,458.42,638.15,21,8.360823657913691,97.3,31907.5
Natural Fiber Engineered Application Unit,Electronics,Natural Fiber,354.39,892.59,26,2.619341968927453,35.01,44629.5
Bio-Composite Engineered Application Unit,Automotive,Bio-Composite,580.95,670.58,96,5.969566793878959,72.25,33529.0
Recycled Plastic Exterior Cladding Panel,Construction,Recycled Plastic,253.41,29.19,48,5.690033543916737,99.46,1459.5
Bioplastic Specimen Collection Container,Healthcare,Bioplastic,423.48,283.16,5,4.4820155999388085,1.55,14158.0
Agro-Waste Fiber Medical Dose Dispenser,Healthcare,Agro-Waste Fiber,835.56,431.04,52,5.100135257768173,98.03,21552.0
Bioplastic Compostable Meal Tray,Food Packaging,Bioplastic,68.74,309.17,31,3.04989990449919,31.69,15458.5
Plant-Based Load-Bearing Partition Board,Construction,Plant-Based,153.37,559.02,94,1.9531060238232398,93.0,27951.0
Recycled Plastic Engineered Application Unit,Toys,Recycled Plastic,64.3,212.87,46,4.653656495355473,14.01,10643.5
Recycled Plastic Engineered Application Unit,Textiles,Recycled Plastic,466.98,877.99,16,6.773057524829757,13.66,43899.5
Biopolymer Rear Casing Structure,Home Appliances,Biopolymer,638.31,555.06,41,5.257802686280712,81.01,27753.0
Composite Engineered Application Unit,Automotive,Composite,780.5,913.67,6,9.097609025424472,79.83,45683.5
Recycled Plastic Engineered Application Unit,Furniture,Recycled Plastic,585.32,703.46,15,7.330765152430943,88.66,35173.0
Bio-Composite Engineered Application Unit,Automotive,Bio-Composite,25.83,580.97,31,3.092018204667237,3.59,29048.5
Recycled Metal IV Fluid Connector,Healthcare,Recycled Metal,419.57,544.93,21,7.876583005198795,3.05,27246.5
Plant-Based Diagnostic Cartridge,Healthcare,Plant-Based,34.58,823.49,53,0.9336586751838659,32.67,41174.5
Recycled Fiber Reinforced Roofing Sheet,Construction,Recycled Fiber,745.25,275.19,4,5.38875516447884,84.2,13759.5
Bioplastic Eco Cutlery Set,Food Packaging,Bioplastic,175.75,414.3,98,3.6499980057141648,72.61,20715.0
Recycled Metal Compostable Meal Tray,Food Packaging,Recycled Metal,878.29,518.72,29,10.377047975683933,39.88,25936.0
Agro-Waste Fiber Surgical Instrument Tray,Healthcare,Agro-Waste Fiber,390.74,745.32,89,2.954406579578405,96.26,37266.0
Biopolymer Thermal Insulation Slab,Construction,Biopolymer,752.55,697.49,0,5.835077205009528,15.64,34874.5
Bio-Composite Engineered Application Unit,Automotive,Bio-Composite,225.97,551.48,47,4.0008260490789755,93.46,27574.0
Bio-Composite Specimen Collection Container,Healthcare,Bio-Composite,574.81,519.11,63,5.946329121101683,61.17,25955.5
Recycled Metal Internal Support Chassis,Home Appliances,Recycled Metal,378.22,251.49,15,8.198707313293193,12.02,12574.5
Plant-Based Compostable Meal Tray,Food Packaging,Plant-Based,308.35,96.34,46,2.53458479217801,85.55,4817.0
Composite Engineered Application Unit,Furniture,Composite,633.59,476.8,89,8.480878731162802,80.69,23840.0
Bio-Composite Engineered Application Unit,Electronics,Bio-Composite,312.33,467.35,100,4.037700979182051,61.59,23367.5
Agro-Waste Fiber Diagnostic Cartridge,Healthcare,Agro-Waste Fiber,571.95,50.08,94,3.8241305008750457,93.34,2504.0
Recycled Fiber Printed Ointment Tube,Cosmetics,Recycled Fiber,451.43,541.68,3,3.7745594136476344,94.39,27084.0
Biopolymer Dual-Layer Cosmetic Tube,Cosmetics,Biopolymer,849.88,867.86,31,6.189598529906826,57.55,43393.0
Composite Engineered Application Unit,Toys,Composite,349.96,645.07,32,6.768152155307101,82.06,32253.5
Composite Food Storage Container,Food Packaging,Composite,563.72,821.32,39,7.4210862170798215,19.58,41066.0
Bio-Composite Takeaway Clamshell Box,Food Packaging,Bio-Composite,63.36,105.27,1,3.272865622432498,61.83,5263.5
Plant-Based Engineered Application Unit,Electronics,Plant-Based,303.56,657.44,92,2.5892225143023495,2.33,32872.0
Bioplastic Engineered Application Unit,Automotive,Bioplastic,733.21,285.45,67,6.461628808948303,34.83,14272.5
Agro-Waste Fiber Engineered Application Unit,Electronics,Agro-Waste Fiber,843.05,43.99,88,4.911595956345271,28.2,2199.5
Natural Fiber Sterile Injection Syringe,Healthcare,Natural Fiber,160.52,751.86,63,1.8409012794213626,73.16,37593.0
