Product,category_name,material_type,tensile_strength_mpa,weight_capacity_kg,biodegradability_score,co2_emission_kg_per_kg,recyclability_percent,Material_Cost_INR
Bioplastic Sterile Injection Syringe,Healthcare,Bioplastic,337.71,950.96,71,4.287892830602247,15.6,114500.5621229517
Agro-Waste Fiber Thermal Insulation Insert,Home Appliances,Agro-Waste Fiber,141.24,62.79,87,1.4785471397657632,14.29,3363.3803548243222
Composite High-Gloss Skincare Tube,Cosmetics,Composite,586.15,61.13,87,8.060287707620137,21.23,4843.3282807151045
Bio-Composite Exterior Cladding Panel,Construction,Bio-Composite,164.46,187.49,75,4.126905971281605,0.71,24834.384478461205
Bioplastic Specimen Collection Container,Healthcare,Bioplastic,21.73,527.15,41,2.5618193250553327,97.38,63315.7419937915
Bioplastic Engineered Application Unit,Automotive,Bioplastic,210.26,95.15,61,3.504472608610164,51.42,11610.009456457623
Recycled Metal Engineered Application Unit,Toys,Recycled Metal,533.58,51.22,50,8.983742563101478,45.05,4701.271922326109
Biopolymer Load-Bearing Partition Board,Construction,Biopolymer,12.93,942.49,13,2.2181369458305817,30.46,141521.08020937294
Recycled Fiber Engineered Application Unit,Toys,Recycled Fiber,88.81,685.81,59,1.850155122813009,49.52,30953.433842109753
Recycled Fiber Engineered Application Unit,Toys,Recycled Fiber,31.92,909.77,35,1.7681120087171929,75.54,41106.9940065379
Bioplastic Engineered Application Unit,Toys,Bioplastic,383.22,211.9,3,4.323416461437508,96.96,25556.09734607813
Natural Fiber Engineered Application Unit,Furniture,Natural Fiber,697.84,939.8,61,4.596054049285949,72.73,56789.06053696446
Plant-Based Appliance Housing Panel,Home Appliances,Plant-Based,294.56,572.59,61,2.521192454313207,38.87,51838.67434073491
Natural Fiber Engineered Application Unit,Toys,Natural Fiber,244.94,829.59,25,2.0420439510684405,60.7,49660.87796330133
Biopolymer Motor Support Frame,Home Appliances,Biopolymer,249.12,299.79,44,2.9006164334973934,98.69,44922.322325123045
Natural Fiber Engineered Application Unit,Automotive,Natural Fiber,695.25,202.72,87,4.563792494151806,19.88,12600.481870613854
Plant-Based Specimen Collection Container,Healthcare,Plant-Based,640.5,791.22,4,3.999933775933116,65.11,71386.12533194984
Recycled Fiber Modular Decking Board,Construction,Recycled Fiber,823.55,850.79,11,5.680599466519055,6.36,38766.462099889286
Recycled Plastic Engineered Application Unit,Electronics,Recycled Plastic,280.57,328.56,98,5.721245184895758,27.47,13342.481388671818
Plant-Based Engineered Application Unit,Automotive,Plant-Based,505.56,386.01,46,3.245339259732942,76.08,34873.83444479971
Natural Fiber Takeaway Clamshell Box,Food Packaging,Natural Fiber,505.59,772.11,26,4.021079753784311,42.75,46851.24231533823
Plant-Based Acoustic Dampening Board,Home Appliances,Plant-Based,23.85,112.35,62,1.074094739902693,47.54,10213.558554927018
Biopolymer Reinforced Roofing Sheet,Construction,Biopolymer,507.38,697.04,100,4.550405640937585,41.04,105019.81923070319
Bioplastic Medical Dose Dispenser,Healthcare,Bioplastic,680.24,232.65,31,5.616250362757309,69.48,28106.40777206798
Plant-Based Engineered Application Unit,Electronics,Plant-Based,792.54,626.23,61,4.853823455094964,87.15,56797.31259132122
Biopolymer Laminated Lotion Tube,Cosmetics,Biopolymer,723.5,190.64,29,5.639684517941973,32.43,29032.388388456475
Plant-Based Thermal Insulation Slab,Construction,Plant-Based,110.76,359.52,61,1.3236012845155396,22.79,32361.530963386656
Plant-Based Engineered Application Unit,Textiles,Plant-Based,384.97,818.92,2,2.9999896036691345,51.07,73955.63970275185
Composite Engineered Application Unit,Textiles,Composite,376.25,226.0,50,6.761122262016238,24.41,16018.02919651218
Recycled Plastic Engineered Application Unit,Electronics,Recycled Plastic,152.29,222.67,87,5.203111250041345,36.36,9113.190937531008
Plant-Based Appliance Housing Panel,Home Appliances,Plant-Based,874.63,962.64,38,5.25280867755412,30.09,87060.6590081656
Recycled Plastic Food Storage Container,Food Packaging,Recycled Plastic,257.07,41.7,1,6.155805636901788,5.15,2076.3767276763406
